year,continent,ccode,name,electricandheat,manufacturingandconstructing,transportation,fuelcombustion,fugitive,totalCO2
1996,Africa,BWA,Botswana,1.28,0.54,0.90,0.16,0.00,2.88
1996,Africa,BFA,Burkina Faso,,,,,0.00,0.00
1996,Africa,BDI,Burundi,,,,,0.00,0.00
1996,Africa,CMR,Cameroon,0.03,0.18,1.71,0.53,3.77,6.22
1996,Africa,CPV,Cape Verde,,,,,0.00,0.00
1996,Africa,CAF,Central African Republic,,,,,0.00,0.00
1996,Africa,TCD,Chad,,,,,0.00,0.00
1996,Africa,COM,Comoros,,,,,0.00,0.00
1996,Africa,COG,"Congo, Dem. Rep.",0.04,0.01,0.45,0.65,0.00,1.15
1996,Africa,COD,"Congo, Rep.",0.00,0.05,0.31,0.07,2.37,2.80
1996,Africa,CIV,Cote d'Ivoire,1.49,0.55,1.24,0.61,0.00,3.89
1996,Africa,DJI,Djibouti,,,,,0.00,0.00
1996,Africa,EGY,Egypt,27.91,28.44,22.25,10.03,2.00,90.63
1996,Africa,ERI,Eritrea,0.33,0.05,0.38,0.09,0.00,0.85
1996,Africa,ETH,Ethiopia,0.07,0.68,1.20,0.69,0.00,2.64
1996,Africa,GAB,Gabon,0.40,0.48,0.34,0.20,3.24,4.66
1996,Africa,GMB,"Gambia, The",,,,,0.00,0.00
1996,Africa,GHA,Ghana,0.09,0.61,2.21,0.69,0.00,3.60
1996,Africa,KEN,Kenya,0.60,1.95,2.64,1.07,0.00,6.26
1996,Africa,KIR,Kiribati,,,,,0.00,0.00
1996,Africa,LSO,Lesotho,,,,,0.00,0.00
1996,Africa,LBR,Liberia,,,,,0.00,0.00
1996,Africa,LBY,Libya,19.55,4.96,10.41,2.07,3.30,40.29
1996,Africa,MDG,Madagascar,,,,,0.00,0.00
1996,Africa,MLI,Mali,,,,,0.00,0.00
1996,Africa,MRT,Mauritania,,,,,0.00,0.00
1996,Africa,MUS,Mauritius,0.69,0.24,0.53,0.13,0.00,1.59
1996,Africa,MAR,Morocco,9.84,5.37,6.33,4.08,0.00,25.62
1996,Africa,MOZ,Mozambique,0.03,0.03,0.80,0.23,0.00,1.09
1996,Africa,NAM,Namibia,0.04,0.20,1.04,0.63,0.00,1.91
1996,Africa,NER,Niger,,,,,0.00,0.00
1996,Africa,NGA,Nigeria,11.67,4.92,16.96,4.12,49.74,87.41
1996,Africa,RWA,Rwanda,,,,,0.00,0.00
1996,Africa,STP,Sao Tome & Principe,,,,,0.00,0.00
1996,Africa,SEN,Senegal,1.05,0.36,0.84,0.34,0.00,2.59
1996,Africa,SYC,Seychelles,,,,,0.00,0.00
1996,Africa,SLE,Sierra Leone,,,,,0.00,0.00
1996,Africa,ZAF,South Africa,174.25,60.28,33.97,16.27,0.00,284.77
1996,Africa,SWZ,Swaziland,,,,,0.00,0.00
1996,Africa,TZA,Tanzania,0.42,0.41,1.19,0.76,0.00,2.78
1996,Africa,TGO,Togo,0.05,0.16,0.65,0.08,0.00,0.94
1996,Africa,TUN,Tunisia,4.99,3.43,3.29,3.28,0.69,15.68
1996,Africa,UGA,Uganda,,,,,0.00,0.00
1996,Africa,ZMB,Zambia,0.11,0.71,0.62,0.22,0.00,1.66
1996,Africa,ZWE,Zimbabwe,6.55,2.48,2.11,3.08,0.00,14.22
1996,Asia,AFG,Afghanistan,,,,,0.00,0.00
1996,Asia,BHR,Bahrain,12.66,1.84,1.25,0.17,0.00,15.92
1996,Asia,BGD,Bangladesh,6.70,6.95,2.91,4.02,0.00,20.58
1996,Asia,BTN,Bhutan,,,,,0.00,0.00
1996,Asia,BRN,Brunei,3.58,0.24,0.83,0.06,0.00,4.71
1996,Asia,KHM,Cambodia,0.20,0.04,1.16,0.12,0.00,1.52
